iter	Passed	Remaining
402	15452	3719
403	15498	3682
404	15544	3646
405	15581	3607
406	15623	3569
407	15667	3532
408	15701	3493
409	15741	3455
410	15795	3420
411	15842	3383
412	15890	3347
413	15929	3309
414	15962	3269
415	16006	3232
416	16047	3194
417	16077	3153
418	16102	3112
419	16129	3072
420	16153	3031
421	16199	2994
422	16237	2955
423	16284	2918
424	16320	2880
425	16365	2842
426	16411	2805
427	16445	2766
428	16491	2729
429	16537	2692
430	16586	2655
431	16630	2617
432	16670	2579
433	16710	2541
434	16745	2502
435	16781	2463
436	16835	2427
437	16872	2388
438	16908	2349
439	16947	2310
440	16999	2274
441	17041	2236
442	17077	2197
443	17104	2157
444	17132	2117
445	17161	2077
446	17201	2039
447	17250	2002
448	17285	1963
449	17332	1925
450	17370	1887
451	17432	1851
452	17469	1812
453	17503	1773
454	17538	1734
455	17571	1695
456	17604	1656
457	17640	1617
458	17680	1579
459	17712	1540
460	17745	1501
461	17799	1464
462	17847	1426
463	17883	1387
464	17958	1351
465	17999	1313
466	18035	1274
467	18069	1235
468	18114	1197
469	18141	1157
470	18169	1118
471	18195	1079
472	18228	1040
473	18268	1002
474	18310	963
475	18353	925
476	18424	888
477	18461	849
478	18502	811
479	18555	773
480	18588	734
481	18662	696
482	18708	658
483	18746	619
484	18792	581
485	18837	542
486	18872	503
487	18916	465
488	18951	426
489	18983	387
490	19059	349
491	19090	310
492	19115	271
493	19147	232
494	19172	193
495	19219	154
496	19248	116
497	19277	77
498	19312	38
499	19355	0
